rank_test_score,mean_test_score,std_test_score,params
1,0.8739376139538998,0.0029094374059009435,"{""C"": 1.0, ""solver"": ""lbfgs""}"
2,0.8735896370468067,0.0030459072240040345,"{""C"": 1.0, ""solver"": ""liblinear""}"
3,0.8729740703034773,0.0042535398035235,"{""C"": 2.0, ""solver"": ""lbfgs""}"
4,0.8729588385389828,0.005197515835688363,"{""C"": 2.0, ""solver"": ""liblinear""}"
5,0.8708665832480942,0.0038557775936921843,"{""C"": 0.5, ""solver"": ""liblinear""}"
6,0.8707209085574243,0.00436853629560683,"{""C"": 4.0, ""solver"": ""liblinear""}"
7,0.8706494522370392,0.003937510787014834,"{""C"": 4.0, ""solver"": ""lbfgs""}"
8,0.8705669852496051,0.0031307813325177195,"{""C"": 0.5, ""solver"": ""lbfgs""}"
