model,status,accuracy,precision,recall,f1,best_params
vader,success,0.7003508205976048,0.6532435740514075,0.858107564916794,0.7417908891900344,
logistic,success,0.892818258800758,0.888412358033516,0.899268429938098,0.8938074310827008,"{""C"": 1.0, ""solver"": ""lbfgs""}"
linearsvc,success,0.8952780354046534,0.8918617614269788,0.9003939223410242,0.8961075329039485,"{""C"": 0.25}"
tree,success,0.725472801322634,0.7100022376370553,0.7652544416753758,0.7365936702004179,
random_forest,success,0.7461187951127062,0.73398339300678,0.7745799501567651,0.7537354298677932,
